0, 0.726989158
1, 1.1462958009
2, 3.3487315329
3, 5.5467496939
4, 7.7695124441
5, 9.9797404168
6, 11.1912144845
7, 13.3998734948
8, 16.6136635402
9, 18.8221754643
10, 20.0303083677
11, 22.2384061249
12, 24.4492632484
13, 26.6574407166
14, 28.8670407562
15, 30.0737605990
16, 32.2829276656
17, 34.4951524298
18, 37.7024407306
19, 39.9130968590
20, 41.1241348955
21, 43.3323965265
22, 45.5428402818
23, 47.7525004302
24, 49.9635436598
25, 51.1733873035
26, 53.3839185019
27, 55.5926267190
28, 58.8027807063
29, 60.0123092068
