0, 3.3829998300
1, 7.7680607700
2, 11.1462529800
3, 15.5321810700
4, 19.9177337900
5, 22.2941343600
6, 26.6784661800
7, 30.0629456300
8, 34.4505276900
9, 38.8375110200
10, 42.2185038200
11, 45.5985016600
12, 49.9705097900
13, 53.3529767700
14, 57.7335237300
15, 61.1062005400
16, 64.4876357000
17, 68.8789109900
18, 72.2605712900
19, 76.6358689800
20, 80.0157180500
21, 84.4016236900
22, 87.7737956600
23, 91.1563299800
24, 95.5952835000
25, 99.9727938100
26, 103.3518383100
27, 107.7353325900
28, 111.1129917800
29, 114.4848351100
