0, 2.2085154544
1, 3.3814031579
2, 5.5561222481
3, 7.7265218834
4, 9.9015947776
5, 10.0747625832
6, 12.2408671136
7, 14.4163343218
8, 15.5875075285
9, 17.7525809127
10, 19.9163890344
11, 20.0872069588
12, 22.2577022867
13, 24.4343684646
14, 26.6025603313
15, 27.7702644509
16, 29.9384893075
17, 31.1124537543
18, 32.2825726682
19, 34.4543273725
20, 36.6202426829
21, 37.7881031735
22, 39.9554741038
23, 41.1394472232
24, 43.3302384376
25, 45.5421932298
26, 47.7216692084
27, 49.9108411219
28, 50.0871746723
29, 52.2887582659
